불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2021-09-01,2021-09-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700043,2017-12-21,2218000,2017-12-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2020-12-17,2021-01-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700044,2017-12-21,2218000,2017-12-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-10-15,2023-11-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800047,2018-03-25,1182000,2018-04-01,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-08-05,2023-08-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800049,2018-01-15,3630000,2018-01-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-06-30,2021-07-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800050,2018-01-15,3630000,2018-01-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2022-03-19,2022-04-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800051,2018-01-15,3630000,2018-01-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2021-03-12,2021-04-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700055,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2021-03-22,2021-04-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700056,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2022-07-12,2022-07-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700057,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-10-12,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700059,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2024-01-29,2024-02-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700060,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-11-13,2021-11-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700061,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2021-03-01,2021-03-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700062,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-07-04,2021-07-31,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700063,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2021-11-02,2021-11-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700064,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-08-22,2021-09-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700065,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-12-31,2021-01-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700066,2017-03-13,13380000,2017-03-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2023-09-22,2023-10-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900079,2019-06-17,3663000,2019-06-20,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2026-01-31,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900080,2019-06-17,3663000,2019-06-20,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2025-12-12,2026-01-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900081,2019-06-17,3663000,2019-06-20,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2019-05-19,2019-06-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600082,2016-02-04,2232000,2016-02-07,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-05-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600083,2016-02-04,2232000,2016-02-07,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2018-12-23,2019-01-19,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500086,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-02-16,2020-03-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500087,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-10-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500088,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2019-07-19,2019-08-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500089,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-09-13,2020-09-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500090,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2019-10-07,2019-11-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500091,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2018-10-30,2018-11-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500092,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2018-08-21,2018-09-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500093,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2019-06-09,2019-06-26,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500094,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2018-07-23,2018-08-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500095,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2019-09-15,2019-10-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500096,2015-08-24,11616000,2015-09-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2026-01-27,2026-02-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200100,2022-06-25,13420000,2022-07-15,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-10-18,2025-11-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200102,2022-06-25,13420000,2022-07-15,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-11-19,2025-12-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200103,2022-06-25,13420000,2022-07-15,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-09-19,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600108,2016-09-23,2200000,2016-09-28,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2021-10-24,2021-11-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600109,2016-09-23,2200000,2016-09-28,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2024-12-22,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201700112,2017-04-18,2240000,2017-04-22,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2021-12-05,2021-12-22,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201700113,2017-04-18,2240000,2017-04-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2018-02-25,2018-03-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500116,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2018-06-08,2018-06-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500117,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2019-05-16,2019-06-08,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500118,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-05-30,2020-06-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500119,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2019-02-24,2019-03-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500120,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2019-07-19,2019-08-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500121,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2019-04-06,2019-04-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500122,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2020-04-26,2020-05-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500123,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2020-08-03,2020-08-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500124,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-05-18,2020-06-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500125,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2019-05-20,2019-06-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500126,2015-01-04,11605000,2015-01-14,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-06-25,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M202200129,2022-05-09,13068000,2022-05-20,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2019-03-28,2019-04-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600138,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2020-01-21,2020-02-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600139,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-08-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600140,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2025-09-12,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600141,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2019-12-06,2019-12-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600142,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2021-04-19,2021-05-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600143,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-02-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600144,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2024-10-17,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600145,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2019-09-17,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201600146,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2025-04-18,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600147,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2019-08-11,2019-09-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600148,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-04-03,2020-04-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600149,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-03-28,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600150,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-02-23,2021-03-12,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600151,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-07-19,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201600152,2016-05-03,17055000,2016-05-11,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2025-06-04,2025-06-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900168,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-01-11,2023-02-01,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900169,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-04-08,2023-04-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900170,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2022-12-07,2023-01-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900171,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-03-05,2025-04-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900172,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-05-29,2023-06-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900173,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2024-03-16,2024-04-04,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900174,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-12-24,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900175,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2025-08-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201900176,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2023-06-19,2023-07-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900177,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2023-06-26,2023-07-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900178,2019-07-03,12815000,2019-07-22,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2019-11-13,2019-12-10,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201600179,2016-01-06,1130000,2016-01-09,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2020-11-11,2020-12-08,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201600180,2016-01-06,1130000,2016-01-09,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2021-01-29,2021-02-24,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201500183,2015-09-14,546000,2015-09-21,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2018-05-18,2018-06-13,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201500185,2015-03-01,1599000,2015-03-07,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2019-10-23,2019-11-22,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201500186,2015-03-01,1599000,2015-03-07,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2019-06-10,2019-07-08,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201500187,2015-03-01,1599000,2015-03-07,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2023-06-16,2023-07-11,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M202100188,2021-04-16,1842000,2021-04-21,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2022-04-10,2022-05-05,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M202100189,2021-04-16,1842000,2021-04-21,소프트웨어융합대학RC행정팀(ERICA),불용,6,중고품,활용부서부재
2024-09-14,,badbergjr,박대리,반려,4321150324510198,노트북컴퓨터,M202100190,2021-04-16,1842000,2021-04-21,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2020-03-29,2020-04-20,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201500191,2015-03-22,1136000,2015-03-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-04-30,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201500192,2015-03-22,1136000,2015-03-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2025-12-28,2026-01-24,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M202100194,2021-09-23,1254000,2021-09-27,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2023-11-27,2023-12-18,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201900195,2019-01-13,1686000,2019-01-18,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2023-07-30,2023-08-17,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201900196,2019-01-13,1686000,2019-01-18,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-02-03,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201900197,2019-01-13,1686000,2019-01-18,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-12-20,2022-01-11,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700201,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2021-06-30,2021-07-20,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700202,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2020-09-10,2020-09-28,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700203,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2020-11-27,2020-12-13,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700204,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2022-08-14,2022-08-30,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700205,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-03-07,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201700206,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2024-10-18,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201700207,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-03-22,2021-04-15,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700208,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2021-02-01,2021-03-03,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700209,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2020-08-01,,badbergjr,박대리,반려,4321150324510198,노트북컴퓨터,M201700210,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-03-09,2021-03-28,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700211,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2021-02-06,2021-02-23,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201700212,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2024-12-23,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201700214,2017-06-13,7812000,2017-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2024-10-13,2024-10-31,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201900229,2019-10-13,8655000,2019-11-01,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2024-09-23,2024-10-21,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201900230,2019-10-13,8655000,2019-11-01,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-06-08,,badbergjr,박대리,대기,4321150324510198,노트북컴퓨터,M201900231,2019-10-13,8655000,2019-11-01,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2023-10-06,2023-10-29,badbergjr,박대리,확정,4321150324510198,노트북컴퓨터,M201900232,2019-10-13,8655000,2019-11-01,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
